function	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S6	S7	S8	S9
RXN66-483	26563.76	6266.08	3708.26	3856.5	4609.41	5647.030000000002	4838.42	7556.770000000001	4502.52	5432.88	4925.01	26300.39	8053.92	4622.87	11353.75	7869.519999999998	8068.8	8195.36	8588.349999999999	7547.05	8617.22	20995.16	9299.75	7449.43	10236.58	9609.86	7396.43	9350.45	4241.88	4342.59	4224.75	4536.24	14992.68	5269.909999999999	7471.25	4286.59	2743.15	3891.76	4506.19	5527.58	5873.35	30995.53	19118.86	20004.31	25214.31	17401.510000000002	5735.55	14778.01	24268.46	29958.480000000003	4197.0
RXN66-484	26563.76	6266.08	3708.26	3856.5	4609.41	5647.030000000002	4838.42	7556.770000000001	4502.52	5432.88	4925.01	26300.39	8053.92	4622.87	11353.75	7869.519999999998	8068.8	8195.36	8588.349999999999	7547.05	8617.22	20995.16	9299.75	7449.43	10236.58	9609.86	7396.43	9350.45	4241.88	4342.59	4224.75	4536.24	14992.68	5269.909999999999	7471.25	4286.59	2743.15	3891.76	4506.19	5527.58	5873.35	30995.53	19118.86	20004.31	25214.31	17401.510000000002	5735.55	14778.01	24268.46	29958.480000000003	4197.0
RXN66-521	26186.81	7759.49	3913.92	4666.0	3659.72	4653.75	6317.67	8463.82	4547.74	4610.34	1629.17	16561.77	3455.76	2455.13	4280.5	7024.17	4464.1	3475.88	3742.94	4414.85	5971.99	15806.63	6558.200000000002	3560.44	6143.24	9442.43	3643.65	3430.17	1787.76	3554.57	3447.42	4139.85	6216.17	2845.49	8805.55	1999.55	3134.55	3774.15	3587.75	3100.38	4450.87	18152.26	12681.76	17271.35	14096.14	12359.36	3613.94	14860.43	22684.97	25579.910000000003	3990.25
RXN66-532	17727.65	6307.16	2576.59	3119.0	4184.25	4682.83	3671.0	4722.16	3958.66	3650.61	2782.67	16892.18	7096.59	2695.09	7377.75	3816.68	5332.2	6217.799999999998	4376.08	5554.2	4222.84	16923.59	4037.94	8675.31	7054.91	5842.28	5079.25	5532.17	2911.78	2676.17	2657.77	2938.7	7727.519999999998	3451.44	6066.95	2498.1	2050.1	2453.3	3005.0	4113.13	3723.07	17281.9	10690.84	14721.41	9849.3	10852.78	3241.63	11491.76	14545.62	20429.99	3266.0
RXN66-542	10812.42	4530.83	2130.42	2582.0	2449.25	3004.29	3296.4700000000007	2537.54	1923.0	1813.18	1378.34	11938.3	3381.42	1789.63	3649.5	1237.84	3259.6	3022.22	2896.98	3327.85	1904.63	12095.05	1781.86	4319.03	3236.08	2483.43	2542.73	3133.76	1631.18	1865.77	2108.5	2383.02	6730.84	2565.99	4044.15	1974.47	1575.55	1801.98	1704.17	2341.83	2982.95	9387.07	5949.84	10538.83	6038.5	5916.17	1459.1799999999996	8356.34	13381.98	14134.49	2272.5
RXN66-546	17497.489999999998	4554.83	2185.42	2587.75	2552.45	3043.29	3618.81	3920.87	2485.67	2492.78	1445.84	14832.63	3579.92	2075.76	3838.0	2990.01	4654.2	3176.22	3790.48	3428.45	3314.9700000000007	15797.35	3842.19	4454.23	4528.58	5802.69	3021.0	3679.93	1948.45	2371.51	2513.43	2744.79	7260.269999999998	2905.53	4901.95	2090.94	1839.85	2370.71	2426.34	2789.600000000001	3280.32	12873.23	8174.51	14170.48	9089.8	7460.6100000000015	2401.05	10232.17	15057.05	20039.49	2419.5
RXN66-550	10403.59	1234.83	604.42	639.0	1534.75	1805.79	360.47	1087.04	1169.0	921.68	1355.84	11270.63	3647.42	1109.79	6450.5	1199.68	2491.1	2462.08	2710.84	3323.85	1360.47	12439.88	1145.16	3879.53	2663.58	2216.93	2602.23	4356.76	1922.68	1083.77	838.4300000000002	1106.02	6628.34	1554.9900000000002	1830.65	810.4699999999998	566.55	867.48	963.67	2484.04	1283.45	8278.73	5123.84	10482.16	6092.83	5758.51	1401.35	6115.67	7400.98	9912.49	917.0
RXN66-569	7637.58	988.83	451.42	469.0	1134.12	1239.17	298.76	1236.58	998.0	933.68	1353.5	8217.92	2453.42	851.13	3566.5	1000.0	1020.1	2066.08	1511.75	2304.85	1329.84	5668.05	1819.25	2317.28	2354.58	2790.43	2090.85	2432.92	1307.4299999999996	617.3199999999998	618.6800000000002	648.52	3881.34	850.87	1597.05	641.4699999999998	447.55	732.48	1041.67	1737.52	938.7	8469.57	5651.84	7453.75	8240.0	6107.67	1611.6799999999996	4292.34	5603.98	6731.83	672.75
RXN66-579	915.0	0.0	7.0	0.0	0.0	2.0	49.0	169.0	6.0	79.0	0.0	2725.0	7.5	7.0	7.0	12.0	0.0	0.0	309.0	19.0	127.0	197.0	296.0	0.0	153.0	569.0	30.0	4.0	0.0	31.0	11.0	0.0	505.0	108.0	37.0	3.0	26.0	2.0	155.0	0.0	7.0	279.0	552.0	670.0	1327.0	391.0	278.0	184.0	819.0	1780.0	2.0
RXN6666-2	183.0	34.0	22.0	0.0	0.0	0.0	0.0	69.0	21.0	9.0	0.0	3.0	0.0	0.0	0.0	200.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	94.0	26.0	48.0	35.0	484.0	74.0	132.0	1.0	74.0	19.0	7.0	31.0	0.0	46.0	11.0	28.0	19.0	12.0	0.0	0.0	46.0	0.0	0.0	0.0	178.0	0.0
